id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
1610,"3324 Valley Lee South","Laurel ",MD,20724,"Anne Arundel","Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",9
1611,"1960 Sigfrid Court","Annapolis ",MD,21401,"Anne Arundel","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",9
1612,"219 Shana Road","Glen Burnie ",MD,21060,"Anne Arundel","Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",9
1613,"645 Governor Bridge Road","Davidsonville ",MD,21035,"Anne Arundel","Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",9
1614,"1630 Eton Way","Crofton ",MD,21114,"Anne Arundel",Hiking,YES,"Lodging, RVs, Tents",Forest,9
1615,"308 Woodleaf Court","Glen Burnie ",MD,21061,"Anne Arundel","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1616,"324 Tulip Oak Court","Linthicum Heights ",MD,21090,"Anne Arundel","Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",9
1617,"8597 Bay Road","Pasadena ",MD,21122,"Anne Arundel","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",9
1618,"396 Berkshire Drive","Riva ",MD,21140,"Anne Arundel","Climbing, Hiking, Biking",NO,RVs,"Forest, Mountains",9
1619,"2034 Fairfax Road","Annapolis ",MD,21401,"Anne Arundel","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1620,"722 Oak Grove Circle","Severna Park ",MD,21146,"Anne Arundel",Hiking,YES,"Lodging, RVs, Tents",Forest,9
1621,"120 Wells Avenue","Glen Burnie ",MD,21061,"Anne Arundel","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1622,"814 Coachway","Annapolis ",MD,21401,"Anne Arundel","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",9
1623,"45 Baldridge Road","Annapolis ",MD,21401,"Anne Arundel","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",9
1624,"1250 Pram Place","Annapolis ",MD,21403,"Anne Arundel","Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",9
1625,"1101 Lotus Avenue","Glen Burnie ",MD,21061,"Anne Arundel","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1626,"628 Ayrlie Water Road","Gibson Island ",MD,21056,"Anne Arundel",Hiking,NO,"Lodging, RVs, Tents",Forest,9
1627,"1516 Ringe Drive","Severn ",MD,21144,"Anne Arundel","Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",9
1628,"1478 Sharps Point Road","Annapolis ",MD,21409,"Anne Arundel","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",9
1629,"2036 Hermitage Hills Drive","Gambrills ",MD,21054,"Anne Arundel","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",9
1630,"7785 Montgomery Mews Court","Severn ",MD,21144,"Anne Arundel","Fishing, Swimming",NO,Tents,"Lake, River or Creek",9
1631,"1347 Blackwalnut Court","Annapolis ",MD,21403,"Anne Arundel","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1632,"5926 Sneed Drive","Deale ",MD,20751,"Anne Arundel","Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",9
1633,"720 South River Landing Road","Edgewater ",MD,21037,"Anne Arundel","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1634,"302 Black Sky Lane","Pasadena ",MD,21122,"Anne Arundel","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",9
1635,"8112 Equestrian Drive","Severn ",MD,21144,"Anne Arundel","Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",9
1636,"982 Stonington Drive","Arnold ",MD,21012,"Anne Arundel","Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",9
1637,"1805 Meade Village Circle","Severn ",MD,21144,"Anne Arundel","Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",9
1638,"337 South Drive","Severna Park ",MD,21146,"Anne Arundel",Hiking,YES,"Lodging, RVs, Tents",Forest,9
1639,"1742 Allerford Drive","Hanover ",MD,21076,"Anne Arundel","Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",9
1640,"4432 Cobalt Drive","Harwood ",MD,20776,"Anne Arundel","Climbing, Hiking",NO,Tents,"Forest, Mountains",9
1641,"1852 Cherry Road","Annapolis ",MD,21409,"Anne Arundel","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",9
1642,"5306 Ritchie Highway","Baltimore ",MD,21225,"Anne Arundel","Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",9
1643,"6460 Lacrosse Lane","Glen Burnie ",MD,21061,"Anne Arundel","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1644,"1011 Bell Avenue","Glen Burnie ",MD,21060,"Anne Arundel",Hiking,NO,"Lodging, RVs, Tents",Forest,9
1645,"2162 Mulberry Hill Road","Annapolis ",MD,21409,"Anne Arundel","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1646,"5224 Wasena Avenue","Baltimore ",MD,21225,"Anne Arundel","Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",9
1647,"2109 Puddingtons Patent Way","Gambrills ",MD,21054,"Anne Arundel","Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",9
1648,"3579 2nd Avenue","Edgewater ",MD,21037,"Anne Arundel","Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",9
1649,"708 Pine Drift Drive","Odenton ",MD,21113,"Anne Arundel","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
1650,"2147 Millhaven Drive","Edgewater ",MD,21037,"Anne Arundel",Hiking,YES,"Lodging, RVs, Tents",Forest,9
1651,"4 Glen Circle","Glen Burnie ",MD,21060,"Anne Arundel","Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",9
1652,"8213 Northwest 65th Place","Oklahoma City ",OK,73132,Oklahoma,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",3
1653,"1124 Frederick Douglass Avenue","Oklahoma City ",OK,73117,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1654,"14525 South Brent Drive","Oklahoma City ",OK,73170,Cleveland,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",7
1655,"3104 Southwest 46th Street","Oklahoma City ",OK,73119,Oklahoma,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",3
1656,"313 Lone Oak Drive","Norman ",OK,73071,Cleveland,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",7
1657,"2900 North Western Avenue","Edmond ",OK,73012,Oklahoma,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",3
1658,"1236 Southwest 49th Street","Oklahoma City ",OK,73109,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1659,"6604 Northwest 130th Street","Oklahoma City ",OK,73142,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1660,"2613 Southeast 50th Street","Oklahoma City ",OK,73129,Oklahoma,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",3
1661,"1313 Southwest 115th Place","Oklahoma City ",OK,73170,Cleveland,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",7
1662,"516 Southwest 60th Terrace","Oklahoma City ",OK,73139,Oklahoma,Hiking,YES,"Lodging, RVs, Tents",Forest,3
1663,"3801 North Ann Arbor Place","Oklahoma City ",OK,73122,Oklahoma,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",3
1664,"6120 Southeast 84th Street","Oklahoma City ",OK,73135,Oklahoma,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",3
1665,"3200 Southwest 95th Street","Oklahoma City ",OK,73159,Oklahoma,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",3
1666,"433 Keith Street","Norman ",OK,73071,Cleveland,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",7
1667,"2115 Northwest 22nd Street","Oklahoma City ",OK,73107,Oklahoma,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",3
1668,"1401 Saint George Avenue","Moore ",OK,73160,Cleveland,Hiking,NO,"Lodging, RVs, Tents",Forest,7
1669,"1708 Melody Drive","Midwest City ",OK,73130,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1670,"8401 Pinewood Drive","Oklahoma City ",OK,73135,Oklahoma,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1671,"9740 Rhythm Road","Midwest City ",OK,73130,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1672,"1309 Southwest 71st Terrace","Oklahoma City ",OK,73159,Oklahoma,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",3
1673,"8404 South Villa Avenue","Oklahoma City ",OK,73159,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1674,"2905 Stonebridge Court","Norman ",OK,73071,Cleveland,Hiking,YES,"Lodging, RVs, Tents",Forest,7
1675,"4207 Ranch Drive","Edmond ",OK,73013,Oklahoma,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1676,"3612 Jim Robison Drive","Edmond ",OK,73013,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1677,"1801 Dodge Trail","Edmond ",OK,73003,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1678,"9805 South Youngs Lane","Oklahoma City ",OK,73159,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1679,"1601 Northwest 22nd Street","Oklahoma City ",OK,73106,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1680,"405 Flint Ridge Court","Norman ",OK,73072,Cleveland,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",7
1681,"621 Northwest 94th Street","Oklahoma City ",OK,73114,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1682,"1709 7th Avenue Northwest","Ardmore ",OK,73401,Carter,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1683,"328 South Ranchwood Manor Drive","Oklahoma City ",OK,73139,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1684,"6016 Northwest 27th Street","Oklahoma City ",OK,73127,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1685,"1313 Southwest 14th Street","Oklahoma City ",OK,73108,Oklahoma,"Fishing, Swimming",NO,RVs,"Lake, River or Creek",3
1686,"320 Northwest 22nd Street","Oklahoma City ",OK,73103,Oklahoma,Hiking,YES,"Lodging, RVs, Tents",Forest,3
1687,"1709 Queensbury Road","Moore ",OK,73160,Cleveland,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",7
1688,"600 Crosby Boulevard","Midwest City ",OK,73110,Oklahoma,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",3
1689,"1537 Northwest 123rd Street","Oklahoma City ",OK,73120,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1690,"11724 Rushmore","Oklahoma City ",OK,73162,Oklahoma,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1691,"2829 Cambridge Court","Oklahoma City ",OK,73116,Oklahoma,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",3
1692,"1245 Southwest 31st Street","Oklahoma City ",OK,73109,Oklahoma,Hiking,YES,"Lodging, RVs, Tents",Forest,3
1693,"915 Hargrove Street","Ardmore ",OK,73401,Carter,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1694,"5024 Ryan Drive","Oklahoma City ",OK,73135,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1695,"812 Southwest 151st Street","Oklahoma City ",OK,73170,Cleveland,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",7
1696,"4012 Heritage Place Drive","Norman ",OK,73072,Cleveland,"Climbing, Hiking",NO,Tents,"Forest, Mountains",7
1697,"19091 Northeast 23rd Street","Harrah ",OK,73045,Oklahoma,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",3
1698,"1842 West Park Place","Oklahoma City ",OK,73106,Oklahoma,Hiking,YES,"Lodging, RVs, Tents",Forest,3
1699,"1304 Southwest 67th Street","Oklahoma City ",OK,73159,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1700,"17800 Creekwood Lane","Choctaw ",OK,73020,Oklahoma,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",3
1701,"320 South Ramblin Oaks Drive","Moore ",OK,73160,Cleveland,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",7
1702,"1709 Travers Court","Edmond ",OK,73003,Oklahoma,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",3
1703,"19448 Currant Drive","Edmond ",OK,73012,Oklahoma,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",3
1704,"2100 Sandy Creek Trail","Edmond ",OK,73013,Oklahoma,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",3
1705,"14300 Leesa Lane","Edmond ",OK,73013,Oklahoma,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1706,"3116 Northwest 61st Terrace","Oklahoma City ",OK,73112,Oklahoma,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",3
1707,"5136 Gaines Street","Oklahoma City ",OK,73135,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1708,"3208 Southwest 65th Street","Oklahoma City ",OK,73159,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1709,"1304 Northern Hills Road","Norman ",OK,73071,Cleveland,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",7
1710,"312 Northwest 90th Street","Oklahoma City ",OK,73114,Oklahoma,Hiking,YES,"Lodging, RVs, Tents",Forest,3
1711,"1709 Southeast 51st Street","Oklahoma City ",OK,73129,Oklahoma,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",3
1712,"7609 Doris Place","Oklahoma City ",OK,73162,Oklahoma,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",3
1713,"301 Southeast 37th Street","Oklahoma City ",OK,73129,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1714,"3413 Pheasant Run Road","Norman ",OK,73072,Cleveland,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",7
1715,"3420 Northwest 41st Street","Oklahoma City ",OK,73112,Oklahoma,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",3
1716,"4132 Northwest 57th Street","Oklahoma City ",OK,73112,Oklahoma,Hiking,NO,"Lodging, RVs, Tents",Forest,3
1717,"1644 Queenstown Road","Nichols Hills ",OK,73116,Oklahoma,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",3
1718,"4001 Teton Lane","Norman ",OK,73072,Cleveland,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",7
1719,"712 Southwest 1st Street","Moore ",OK,73160,Cleveland,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",7
1720,"6917 Briarcreek Drive","Oklahoma City ",OK,73162,Oklahoma,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",3
1721,"1915 Southeast 29th Street","Oklahoma City ",OK,73129,Oklahoma,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",3
1722,"1015 Castle Road","Edmond ",OK,73034,Oklahoma,Hiking,YES,"Lodging, RVs, Tents",Forest,3
1723,"8325 Northwest 19th Street","Oklahoma City ",OK,73127,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1724,"122 East Hayes Street","Norman ",OK,73069,Cleveland,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",7
1725,"7132 South Villa Avenue","Oklahoma City ",OK,73159,Oklahoma,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",3
1726,"3824 Rosewood Court","Midwest City ",OK,73110,Oklahoma,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",3
1727,"809 Blue Ridge Drive","Edmond ",OK,73003,Oklahoma,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",3
1728,"1032 Brayhill Road","Edmond ",OK,73003,Oklahoma,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",3
1729,"7301 Northwest 113th Terrace","Oklahoma City ",OK,73162,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1730,"5113 Southeast 51st Street","Oklahoma City ",OK,73135,Oklahoma,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1731,"1713 Apian Way","Edmond ",OK,73003,Oklahoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1732,"1136 Northwest 31st Street","Oklahoma City ",OK,73118,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1733,"3516 North Virginia Avenue","Oklahoma City ",OK,73118,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1734,"3313 East Tecumseh Road","Norman ",OK,73071,Cleveland,Hiking,YES,"Lodging, RVs, Tents",Forest,7
1735,"4200 Northwest 59th Street","Oklahoma City ",OK,73112,Oklahoma,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",3
1736,"212 Burk Way","Del City ",OK,73115,Oklahoma,"Climbing, Hiking",YES,RVs,"Forest, Mountains",3
1737,"625 West Main Street","Moore ",OK,73160,Cleveland,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",7
1738,"417 West Park Place","Oklahoma City ",OK,73103,Oklahoma,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",3
1739,"1513 Southeast 9th Street","Moore ",OK,73160,Cleveland,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",7
1740,"1311 Northwest 98th Street","Oklahoma City ",OK,73114,Oklahoma,Hiking,YES,"Lodging, RVs, Tents",Forest,3
1741,"2835 Southwest 78th Street","Oklahoma City ",OK,73159,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1742,"6401 Green Meadow Lane","Oklahoma City ",OK,73132,Oklahoma,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",3
1743,"1500 South Division Street","Guthrie ",OK,73044,Logan,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",13
1744,"208 Southeast 19th Street","Oklahoma City ",OK,73129,Oklahoma,"Climbing, Hiking",YES,RVs,"Forest, Mountains",3
1745,"1515 Northwest 19th Street","Oklahoma City ",OK,73106,Oklahoma,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1746,"4121 Northwest 31st Street","Oklahoma City ",OK,73112,Oklahoma,Hiking,NO,"Lodging, RVs, Tents",Forest,3
1747,"8417 Timothy Lane","Oklahoma City ",OK,73135,Oklahoma,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1748,"2245 Southwest Binkley Street","Oklahoma City ",OK,73119,Oklahoma,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",3
1749,"2617 Truffula Circle","Norman ",OK,73069,Cleveland,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",7
1750,"10001 Pheasant Lane","Oklahoma City ",OK,73162,Oklahoma,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
1751,"323 Southeast 23rd Street","Oklahoma City ",OK,73129,Oklahoma,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",3
1752,"2320 Northwest 113th Place","Oklahoma City ",OK,73120,Oklahoma,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",3
1753,"5005 North Miller Avenue","Oklahoma City ",OK,73112,Oklahoma,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",3
1754,"2313 Mansfield Avenue","Del City ",OK,73115,Oklahoma,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",3
1755,"3001 Spyglass Hill Road","Edmond ",OK,73034,Oklahoma,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",3
1756,"18713 Shilstone Way","Edmond ",OK,73012,Oklahoma,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",3
1757,"3604 Ridgehaven Drive","Midwest City ",OK,73110,Oklahoma,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",3
1758,"5112 Southwest 124th Place","Oklahoma City ",OK,73173,Cleveland,Hiking,YES,"Lodging, RVs, Tents",Forest,7
1759,"208 Solitude Circle","Goodlettsville ",TN,37072,Davidson,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1760,"1907 18th Avenue South","Nashville ",TN,37212,Davidson,"Climbing, Hiking",NO,RVs,"Forest, Mountains",4
1761,"23 North Hill Street","Nashville ",TN,37210,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1762,"1609 Porter Avenue","Nashville ",TN,37206,Davidson,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1763,"606 Spence Enclave Way","Nashville ",TN,37210,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1764,"517 Glenpark Drive","Nashville ",TN,37217,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1765,"3313 Daisy Trail","Nashville ",TN,37013,Davidson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1766,"1825 Woodland Farms Court","Nashville ",TN,37138,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1767,"5434 Cedar Ash Crossing","Nashville ",TN,37013,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1768,"402 Carlton Place","Goodlettsville ",TN,37072,Davidson,"Climbing, Hiking",NO,Tents,"Forest, Mountains",4
1769,"2205 Lindell Avenue","Nashville ",TN,37204,Davidson,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1770,"4225 Eatons Creek Road","Nashville ",TN,37218,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1771,"704 Crescent Road","Nashville ",TN,37205,Davidson,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",4
1772,"1124 Bluewillow Court","Nashville ",TN,37013,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1773,"261 East Old Hickory Boulevard","Nashville ",TN,37115,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1774,"512 Danley Court","Nashville ",TN,37013,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1775,"700 Revels Drive","Nashville ",TN,37207,Davidson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1776,"3534 Saint Lawrence Road","Nashville ",TN,37080,Davidson,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",4
1777,"416 McIver Street","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1778,"227 Danyacrest Drive","Nashville ",TN,37214,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1779,"6721 Boundary Run","Nashville ",TN,37221,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1780,"8529 Old Harding Lane","Nashville ",TN,37221,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1781,"2732 Rosedale Place","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1782,"313 Wiley Street","Nashville ",TN,37115,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1783,"9360 Hester Beasley Road","Nashville ",TN,37221,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1784,"7013 Collinswood Drive","Nashville ",TN,37221,Davidson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1785,"355 Gillette Road","Nashville ",TN,37211,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1786,"2505 Shadow Lane","Nashville ",TN,37216,Davidson,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1787,"5113 Village Trace","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1788,"8673 Burkitt Place Drive","Nolensville ",TN,37135,Williamson,Hiking,YES,"Lodging, RVs, Tents",Forest,6
1789,"1701 18th Avenue South","Nashville ",TN,37212,Davidson,"Boating, Fishing, Swimming",NO,RVs,"Lake, River or Creek",4
1790,"883 Rodney Drive","Nashville ",TN,37205,Davidson,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",4
1791,"404 Ramble Wood Circle","Nashville ",TN,37221,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1792,"3504 Mount View Ridge Drive","Nashville ",TN,37013,Davidson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
